Month,Municipality,Nb.Floor,Nb.Room,Garage,Garden,Furnished,Promise,New.Project,Announcer.Type,price_m2,Region
Jul,CHERAGA,1,4,FALSE,FALSE,TRUE,FALSE,FALSE,BUREAU D'AFFAIRE,3e5,WEST
Jul,DELY BRAHIM,2,4,TRUE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,3e5,WEST
Jul,DRARIA,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,313043.47826086957,WEST
Jul,DRARIA,1,4,TRUE,TRUE,FALSE,TRUE,TRUE,BUREAU D'AFFAIRE,23e4,WEST
Jul,BORDJ EL BAHRI,4,5,FALSE,FALSE,FALSE,FALSE,TRUE,PARTICULIER,88235.29411764706,EAST
Jul,ALGER,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,21e4,NORTH
Jul,TASSALA EL MERDJA,4,5,TRUE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,83333.33333333333,SOUTH
Jul,BAB EL OUED,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,15e4,NORTH
Jul,BAB EL OUED,2,3,FALSE,FALSE,FALSE,FALSE,TRUE,AGENCE,202777.77777777778,NORTH
Jul,BARAKI,3,3,FALSE,FALSE,FALSE,TRUE,FALSE,PARTICULIER,113333.33333333333,SOUTH
Jul,BEN AKNOUN,7,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,16e4,NORTH
Jul,BORDJ EL KIFFAN,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,104166.66666666667,EAST
Jul,BORDJ EL KIFFAN,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,90625,EAST
Jul,ALGER,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,255555.55555555556,NORTH
Jul,EL ACHOUR,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,260273.97260273973,WEST
Jul,BAINS ROMAINS,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,175675.67567567568,NORTH
Jul,BAINS ROMAINS,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,125e3,NORTH
Jul,OULED FAYET,1,3,FALSE,FALSE,FALSE,TRUE,FALSE,PARTICULIER,190277.77777777778,WEST
Jul,BIR MOURAD RAIS,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,266666.6666666667,NORTH
Jul,BEB EZZOUAR,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,188888.88888888888,EAST
Jul,BENI MESSOUS,3,4,FALSE,FALSE,FALSE,FALSE,TRUE,BUREAU D'AFFAIRE,2e5,WEST
Jul,DELY BRAHIM,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,196629.21348314607,WEST
Jul,EL MADANIA,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,195e3,NORTH
Jul,SAOULA,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,PARTICULIER,185714.2857142857,SOUTH
Jul,REGHAIA,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,214285.7142857143,EAST
Jul,BAB EL OUED,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,141666.66666666666,NORTH
Jul,BARAKI,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,161290.32258064515,SOUTH
Jul,BARAKI,1,3,FALSE,TRUE,FALSE,FALSE,FALSE,PARTICULIER,156250,SOUTH
Jul,BORDJ EL BAHRI,1,3,TRUE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,213333.33333333334,EAST
Jul,BORDJ EL BAHRI,9,3,TRUE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,186666.66666666666,EAST
Jul,BOUZAREAH,3,3,FALSE,TRUE,FALSE,FALSE,FALSE,PARTICULIER,18e4,NORTH
Jul,ALGER,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,246666.66666666666,NORTH
Jul,ALGER,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,268817.20430107525,NORTH
Jul,ALGER,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,3e5,NORTH
Jul,ALGER,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,271428.5714285714,NORTH
Jul,CHERAGA,3,3,TRUE,TRUE,TRUE,FALSE,TRUE,PARTICULIER,28e4,WEST
Jul,LES EUCALYPTUS,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,140579.71014492755,SOUTH
Jul,OULED FAYET,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,182352.9411764706,WEST
Jul,REGHAIA,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,137500,EAST
